ARNT	ATF3	ATF7	BHLHE40	BRCA1	CDC5L	FOXA1	IKZF1	KLF16	MAFK	MGA	MNT	NFIC	NRF1	PKNOX1	REST	STAT5A	TAL1	TCF12	TEAD4	THRA
CCDC130	2	6	7	4	0	1	0	9	1	2	2	5	3	6	6	3	1	2	4	4	0
MRI1	2	8	6	5	0	1	0	11	1	2	1	6	7	8	7	4	1	1	4	5	0
C19orf53	0	7	6	5	0	1	0	11	1	2	3	6	7	9	6	3	0	1	3	5	0
ZSWIM4	0	3	8	6	0	1	0	17	1	3	4	8	9	13	7	4	0	1	3	5	0
C19orf57	0	5	6	4	0	0	0	4	4	2	1	0	6	4	4	7	3	1	2	4	0
CC2D1A	0	5	6	4	0	0	0	4	4	2	1	0	6	4	4	7	3	1	2	4	0
DCAF15	0	3	3	1	0	0	0	0	1	0	1	0	2	3	2	3	2	0	2	2	0
PODNL1	0	3	3	1	0	0	0	1	1	0	1	0	2	3	2	3	2	0	2	2	0
RFX1	5	2	4	3	0	0	0	11	2	0	5	2	8	5	3	5	1	3	4	5	0
IL27RA	6	3	7	5	0	1	0	15	2	1	10	7	8	11	4	7	1	3	3	7	0
PRKACA	4	3	11	5	0	1	0	12	7	2	9	7	3	14	11	5	1	3	2	6	0
ASF1B	3	2	9	2	0	1	0	8	7	1	4	3	3	9	10	3	1	3	2	4	0
DDX39A	1	8	13	7	0	2	0	9	2	1	8	6	12	10	9	7	1	5	3	4	0
PKN1	1	5	14	8	0	1	0	5	3	1	6	6	12	11	9	8	1	3	2	4	0
PTGER1	2	7	18	9	0	0	0	9	2	1	5	4	10	11	10	7	1	3	3	5	1
GIPC1	3	6	16	7	0	0	0	8	2	2	4	4	8	11	12	6	2	4	5	8	1
DNAJB1	5	5	17	8	0	0	0	13	2	1	2	4	11	10	14	6	2	5	7	9	1
TECR	5	5	17	8	0	0	0	13	2	1	2	4	11	10	14	6	2	5	7	9	1
NDUFB7	4	2	7	5	0	0	0	8	3	1	0	2	8	6	11	2	1	5	6	6	0
CLEC17A	2	2	5	5	0	0	0	6	3	0	0	1	8	5	7	3	1	3	5	3	0
ZNF333	1	4	2	1	0	0	0	4	0	1	0	1	1	1	4	1	0	1	0	2	0
OR7A5	1	6	5	2	0	1	0	4	1	1	1	0	3	0	3	3	0	1	2	2	0
SLC1A6	0	2	1	1	0	0	0	0	0	1	1	0	0	1	0	2	0	0	0	0	0
CASP14	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0
SYDE1	0	2	2	1	0	1	0	0	0	0	2	1	1	1	2	4	0	0	0	1	0
ILVBL	0	3	2	1	0	1	0	0	0	0	2	1	1	2	2	6	0	0	0	1	0
NOTCH3	0	1	2	3	0	0	0	1	0	1	3	0	2	7	2	3	0	1	2	0	0
EPHX3	0	1	1	1	0	0	0	3	0	1	1	0	2	5	2	3	0	1	1	0	0
BRD4	1	8	7	0	0	0	0	7	0	0	2	2	3	2	2	5	0	0	0	1	0
AKAP8	1	1	2	2	0	0	0	4	1	1	2	3	5	2	2	4	0	0	1	2	0
AKAP8L	1	1	2	3	0	0	0	6	1	1	2	4	7	3	4	4	0	0	1	1	0
WIZ	1	1	3	1	0	0	0	4	1	1	2	2	7	2	4	3	0	0	1	1	0
RASAL3	1	1	3	1	0	0	0	4	1	1	2	2	7	2	4	3	0	0	1	1	0
CYP4F22	1	1	2	1	0	0	0	2	0	2	2	1	4	3	1	2	0	0	0	0	0
CYP4F3	0	2	2	0	0	0	0	2	3	1	0	0	5	1	0	7	0	1	1	1	0
CYP4F12	0	0	0	0	0	0	0	1	2	1	0	0	4	3	0	10	0	0	0	0	0
CYP4F2	0	1	0	0	0	0	0	1	1	0	1	0	3	1	2	2	0	0	0	1	0
CYP4F11	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	2	0	0	0	0	0
TPM4	2	7	6	5	0	2	0	9	6	2	6	1	10	4	7	7	2	6	4	4	0
RAB8A	2	8	7	6	0	2	0	8	5	2	6	2	8	6	7	3	2	6	5	4	0
FAM32A	3	3	5	2	0	0	0	2	1	0	0	2	2	4	3	2	1	1	2	1	0
AP1M1	3	3	6	3	0	0	0	2	1	0	0	1	2	4	3	3	1	1	1	1	0
KLF2	1	7	5	3	0	2	0	4	1	2	1	0	2	9	1	3	1	1	1	2	0
EPS15L1	0	3	4	4	0	0	0	7	1	0	3	3	5	5	3	3	1	2	3	3	0
CALR3	0	2	6	3	0	0	0	5	1	0	4	5	6	6	3	3	1	1	2	3	0
C19orf44	0	2	6	3	0	0	0	5	1	0	4	5	6	6	3	3	1	1	2	3	0
CHERP	0	1	7	5	0	0	0	4	0	2	5	8	8	11	5	2	0	1	2	3	0
SLC35E1	0	1	6	4	0	0	0	3	0	2	4	7	7	8	4	1	0	1	1	2	0
MED26	1	1	4	5	0	0	0	1	0	1	5	6	5	7	6	1	0	1	0	1	0
SMIM7	1	2	3	2	0	0	0	1	0	0	2	5	3	2	4	2	0	1	0	0	0
TMEM38A	1	2	3	2	0	0	0	1	0	0	2	5	3	2	4	2	0	1	0	0	0
NWD1	0	2	0	0	0	0	0	0	0	0	0	1	3	0	1	5	0	0	0	0	0
SIN3B	0	4	4	0	0	0	0	1	3	1	0	0	5	1	2	4	0	0	0	0	0
F2RL3	0	3	7	4	0	1	0	3	6	1	7	4	7	6	4	8	1	3	3	1	0
HAUS8	0	7	3	2	0	0	0	6	0	2	1	2	2	2	2	1	0	0	0	3	0
MYO9B	0	7	3	2	0	0	0	6	0	2	1	2	2	2	2	1	0	0	0	3	0
USE1	2	4	9	3	0	0	0	5	1	0	8	4	10	11	5	5	0	0	2	3	1
OCEL1	2	4	10	3	0	0	0	7	2	1	8	4	10	13	7	6	0	0	2	4	1
NR2F6	2	4	12	4	0	0	0	9	4	2	10	4	11	19	7	8	0	1	4	4	1
USHBP1	3	4	16	7	0	0	0	14	5	2	12	7	12	20	11	9	0	1	5	5	1
BABAM1	3	6	15	6	0	0	0	13	5	2	12	5	10	18	10	9	0	1	5	5	1
ANKLE1	2	4	15	5	0	0	0	14	5	2	7	4	8	17	8	8	0	1	5	5	1
ABHD8	4	4	16	13	0	2	0	18	6	4	6	6	12	19	16	11	1	2	5	6	0
MRPL34	4	4	16	13	0	2	0	18	6	4	6	6	12	19	15	11	1	2	4	6	0
DDA1	4	4	16	13	0	2	0	18	6	4	6	6	12	19	15	11	1	2	4	6	0
ANO8	3	3	14	13	0	2	0	20	4	3	6	5	12	14	14	10	1	2	4	5	0
GTPBP3	3	3	14	13	0	2	0	20	4	3	6	5	12	14	14	10	1	2	4	5	0
PLVAP	4	5	14	13	0	2	0	22	5	3	6	5	13	12	15	13	2	3	3	8	0
BST2	2	6	8	6	0	0	0	14	5	2	4	3	8	6	9	9	1	2	2	6	0
MVB12A	2	6	8	6	0	0	0	14	5	2	4	3	8	6	9	9	1	2	2	6	0
TMEM221	1	8	9	5	0	0	0	8	4	3	6	5	7	9	7	7	1	1	1	7	0
SLC27A1	0	9	8	4	0	0	0	8	5	2	9	6	5	8	7	10	0	2	2	5	0
PGLS	0	9	12	5	0	0	0	9	3	1	12	10	5	14	8	13	0	2	2	4	0
COLGALT1	0	5	9	4	0	0	0	9	2	0	7	8	5	12	9	11	0	3	3	2	0
UNC13A	0	7	6	2	0	0	0	5	0	0	3	5	3	4	4	7	0	1	2	4	0
MAP1S	1	11	7	3	0	1	0	9	1	0	4	6	9	10	7	8	1	1	2	5	0
FCHO1	1	6	7	3	0	2	0	13	1	0	3	6	9	9	9	5	1	1	3	3	0
B3GNT3	1	3	6	1	0	2	0	11	0	0	2	5	10	13	8	3	0	0	1	1	0
JAK3	0	0	4	3	0	2	0	8	1	1	2	6	6	9	4	5	0	0	0	2	0
RPL18A	0	1	4	3	0	2	0	8	1	1	2	6	5	9	4	5	0	0	0	2	0
CCDC124	1	3	7	2	0	0	0	8	3	2	2	5	3	8	2	6	2	4	2	4	0
ARRDC2	2	4	9	7	0	0	0	16	3	1	3	3	9	11	3	8	2	2	3	5	0
MAST3	2	1	8	3	0	0	0	7	1	0	3	0	2	7	3	7	0	0	1	1	0
IL12RB1	2	1	8	3	0	0	0	7	1	0	3	0	2	7	3	7	0	0	1	1	0
PIK3R2	2	0	10	5	0	0	0	4	4	1	5	9	6	15	7	10	1	1	4	5	0
IFI30	1	0	7	4	0	0	0	3	4	1	6	10	6	14	9	10	1	1	4	6	0
MPV17L2	3	0	9	7	0	1	0	8	4	1	6	13	8	18	10	16	1	2	4	6	0
RAB3A	2	0	6	8	0	1	0	8	3	1	6	12	8	15	9	15	1	2	5	4	0
PDE4C	2	3	10	12	0	2	0	12	3	3	8	11	12	17	11	16	0	6	4	8	0
KIAA1683	2	7	11	15	0	1	0	15	3	4	8	10	13	16	11	14	0	6	5	9	0
JUND	2	7	12	14	0	1	0	15	4	5	9	10	12	13	11	13	0	6	5	10	0
LSM4	5	8	13	14	0	1	0	16	5	5	9	8	14	12	13	11	1	8	4	12	0
PGPEP1	6	10	17	16	0	1	0	20	8	6	12	7	15	14	17	13	4	8	4	12	0
GDF15	5	9	19	14	0	1	0	20	9	2	15	10	19	19	12	11	4	4	2	9	0
LRRC25	4	9	18	16	0	2	0	21	9	2	19	11	21	24	11	10	7	7	4	9	0
SSBP4	2	7	16	16	0	3	0	19	10	2	17	11	20	23	12	11	6	5	3	8	0
ISYNA1	1	4	13	13	0	3	0	16	8	0	14	10	19	17	8	10	3	4	4	4	0
ELL	4	2	12	8	0	1	0	8	2	3	0	7	11	6	8	6	2	1	3	5	0
FKBP8	5	2	11	7	0	3	0	11	2	4	3	11	11	10	7	6	2	2	2	7	0
KXD1	5	1	12	9	0	3	0	12	3	3	4	12	10	11	7	6	2	2	2	8	0
UBA52	4	2	11	7	0	3	0	10	2	3	4	9	8	11	5	5	2	2	1	7	0
C19orf60	3	2	9	9	0	2	0	11	2	2	4	7	7	13	5	5	1	2	2	5	0
CRLF1	2	1	7	7	0	4	0	9	1	2	4	7	6	12	4	5	0	1	1	3	0
TMEM59L	1	3	6	8	0	4	0	10	1	2	4	6	5	11	3	6	0	1	1	3	0
KLHL26	1	4	5	9	0	4	0	10	1	2	4	6	5	13	3	7	0	1	1	3	0
CRTC1	1	3	2	8	0	2	0	5	1	2	0	1	5	8	3	4	1	1	2	1	0
COMP	0	3	4	5	0	0	0	4	1	1	0	0	7	6	2	4	1	1	1	1	0
UPF1	0	2	3	3	0	0	0	4	2	0	1	1	6	3	4	5	0	0	0	1	0
GDF1	0	2	3	5	0	0	0	2	2	0	5	4	3	7	4	4	0	0	0	2	0
CERS1	0	2	3	5	0	0	0	2	2	0	5	4	3	7	4	4	0	0	0	2	0
COPE	0	2	3	4	0	0	0	2	0	1	4	3	3	7	4	2	0	0	0	1	0
DDX49	0	3	3	4	0	0	0	2	0	1	4	3	3	7	4	2	0	0	0	1	0
HOMER3	0	3	3	5	0	0	0	2	1	1	3	3	3	5	4	2	0	0	0	1	0
ARMC6	3	1	5	4	0	0	0	6	4	0	5	5	6	8	9	7	1	3	4	4	0
SUGP2	3	1	5	4	0	0	0	6	4	0	5	5	6	8	9	7	1	3	4	4	0
SLC25A42	3	1	6	3	0	0	0	6	3	0	6	6	5	9	8	8	1	3	4	4	0
TMEM161A	1	1	6	5	0	1	0	2	2	1	6	2	3	6	4	9	0	0	1	2	0
MEF2B	1	2	6	6	0	3	0	4	2	1	6	3	3	9	6	9	0	1	1	4	0
RFXANK	1	2	5	4	0	3	0	4	3	0	5	3	4	6	3	9	0	1	1	3	0
NR2C2AP	1	2	5	4	0	3	0	4	2	0	5	3	4	6	3	8	0	1	1	3	0
HAPLN4	0	1	2	2	0	0	0	4	1	0	1	0	3	1	0	3	0	0	0	1	0
TM6SF2	1	1	4	2	0	0	0	5	1	0	1	1	3	3	2	1	0	0	0	0	0
SUGP1	2	0	7	1	0	0	0	5	1	0	1	2	3	4	3	3	0	0	0	0	0
MAU2	2	0	7	1	0	0	0	5	1	0	1	2	3	4	3	3	0	0	0	0	0
GATAD2A	1	6	12	4	0	0	0	11	2	0	7	4	8	6	8	9	0	1	2	3	0
TSSK6	0	3	4	4	0	0	0	1	2	1	4	1	2	5	4	6	0	0	0	2	0
NDUFA13	0	3	4	4	0	0	0	1	2	1	4	1	2	5	4	6	0	0	0	2	0
YJEFN3	0	3	4	4	0	0	0	1	2	0	4	1	2	5	4	6	0	0	0	2	0
CILP2	0	3	4	4	0	0	0	1	2	0	4	1	2	5	4	6	0	0	0	2	0
PBX4	0	4	6	0	0	0	0	1	2	0	5	2	4	8	6	3	0	0	0	0	0
LPAR2	0	4	6	0	0	0	0	1	2	0	5	2	4	8	6	3	0	0	0	0	0
GMIP	0	3	6	0	0	0	0	1	2	0	5	2	4	8	5	3	0	0	0	0	0
ATP13A1	0	1	6	0	0	0	0	1	2	0	5	2	5	8	4	3	0	0	0	0	0
ZNF101	0	1	6	0	0	0	0	1	2	0	5	2	5	8	4	3	0	0	0	0	0
ZNF14	0	0	4	2	0	0	0	0	0	0	2	2	2	3	2	0	0	0	0	2	0
ZNF506	0	0	4	3	0	0	0	1	0	0	5	3	2	1	1	1	0	0	0	2	0
ZNF253	0	3	4	2	0	0	0	2	1	0	8	1	3	1	2	2	0	1	1	1	0
ZNF93	0	3	4	2	0	0	0	2	1	0	11	1	4	1	2	3	0	2	2	2	0
ZNF682	0	1	0	0	0	0	0	0	1	0	0	0	0	4	2	1	0	0	0	0	0
ZNF90	0	2	0	0	0	0	0	0	1	0	0	0	0	4	2	1	0	0	0	0	0
ZNF486	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
ZNF737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ZNF626	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0
ZNF85	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
ZNF430	0	3	0	0	0	0	0	1	0	0	0	0	1	1	2	0	0	0	1	1	0
ZNF714	0	2	2	0	0	0	0	2	1	0	2	0	3	2	4	0	2	3	6	2	0
ZNF431	0	5	2	0	0	0	0	3	3	0	4	0	3	2	4	1	3	6	7	4	0
ZNF708	0	0	1	0	0	0	0	0	0	0	1	0	0	2	2	2	0	1	1	1	0
ZNF493	0	2	2	0	0	0	0	0	0	1	1	0	0	1	3	2	0	0	0	0	0
ZNF100	0	2	2	0	0	0	0	0	0	0	2	0	2	1	2	1	0	0	0	0	0
ZNF43	0	1	0	1	0	0	0	2	0	0	2	0	0	3	2	0	0	0	0	1	0
ZNF257	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0
ZNF729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ZNF492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ZNF730	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0
ZNF91	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
ZNF675	0	1	1	0	0	0	0	2	0	0	0	0	2	2	1	1	0	0	0	0	0
ZNF681	0	0	3	0	0	0	0	3	0	0	3	0	1	3	1	0	0	0	1	2	0
RPSAP58	0	0	3	0	0	0	0	3	0	0	3	0	1	3	1	0	0	0	1	2	0
ZNF726	0	1	1	0	0	0	0	0	0	0	2	0	0	1	1	1	0	0	0	0	0
ZNF254	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0
UQCRFS1	0	0	1	1	0	0	0	0	0	0	1	0	1	1	1	2	0	0	0	0	0
POP4	2	1	2	2	0	0	0	4	0	1	2	1	3	3	5	1	0	0	0	0	0
PLEKHF1	1	3	2	4	0	0	0	10	0	3	10	2	7	9	5	5	0	0	0	2	0
C19orf12	2	3	4	3	1	0	0	6	2	3	6	2	4	4	1	7	0	0	0	0	0
CCNE1	0	2	3	1	0	0	0	3	0	0	2	3	3	6	4	6	0	0	0	0	0
URI1	2	8	2	4	0	0	0	6	3	2	5	4	3	5	7	3	1	4	2	2	0
ZNF536	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSHZ3	0	1	0	1	0	0	0	0	0	0	0	0	2	0	2	3	0	0	0	0	0
ZNF507	1	6	3	3	0	0	1	4	0	1	3	3	4	0	2	3	0	1	1	1	0
DPY19L3	2	3	3	4	0	0	1	5	2	3	4	5	7	2	3	4	0	3	3	2	0
PDCD5	1	1	3	1	0	1	0	6	2	2	2	2	1	2	3	5	1	1	1	1	0
ANKRD27	1	2	4	5	0	1	0	7	4	2	11	8	5	10	8	3	2	4	4	5	0
RGS9BP	1	2	4	5	0	1	0	7	4	2	11	8	5	10	8	3	2	4	4	5	0
NUDT19	0	1	3	4	0	0	0	6	3	1	11	7	4	9	7	2	1	3	3	4	0
TDRD12	0	0	3	4	0	0	0	6	3	1	11	7	5	9	8	2	1	3	3	4	0
CEP89	0	2	3	2	0	0	1	0	1	0	1	2	5	3	2	2	0	1	1	0	0
RHPN2	1	8	5	0	0	0	1	0	2	1	3	3	8	7	3	0	1	1	2	3	0
GPATCH1	2	9	7	1	0	0	1	1	3	2	3	3	9	8	4	2	2	2	3	4	1
LRP3	1	1	5	2	0	1	0	3	1	1	3	1	4	1	7	6	0	0	0	1	0
SLC7A10	1	1	4	4	0	4	0	3	2	1	3	1	2	1	2	6	0	1	1	2	0
CEBPA	0	3	4	3	0	0	0	0	1	1	1	0	2	0	0	2	0	2	3	3	0
CEBPG	0	0	2	2	0	0	0	1	1	1	2	0	2	2	3	3	0	0	0	0	0
PEPD	0	1	4	2	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0
CHST8	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0
KCTD15	0	2	3	2	0	0	0	0	1	0	1	1	0	7	0	5	0	0	0	1	0
LSM14A	3	6	2	3	0	0	0	4	2	1	7	3	2	4	3	3	0	2	1	3	0
KIAA0355	2	6	5	2	0	0	0	4	2	2	1	1	4	2	4	3	0	2	1	1	1
GPI	0	5	7	3	0	0	0	4	1	1	2	4	1	5	4	1	0	1	1	0	0
PDCD2L	1	1	4	4	0	2	0	3	2	1	3	5	2	4	3	2	0	0	0	0	0
UBA2	1	2	2	3	0	2	0	1	1	0	2	3	2	2	1	1	0	0	0	0	0
WTIP	0	2	1	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0
ZNF302	0	1	0	0	0	0	0	0	0	0	3	1	0	1	0	2	0	1	0	0	0
ZNF181	0	3	2	1	0	0	0	4	1	1	5	3	4	3	3	2	1	1	1	1	0
ZNF599	0	2	2	1	0	0	0	4	1	2	6	2	4	3	4	2	1	1	1	1	0
ZNF30	2	3	4	1	0	1	1	4	4	0	6	2	7	3	4	3	2	3	3	2	0
ZNF792	2	3	5	1	0	3	1	5	5	0	6	3	7	6	5	4	2	3	3	2	0
GRAMD1A	1	4	4	3	0	2	0	7	6	0	3	1	9	6	7	6	2	3	3	3	0
SCN1B	0	4	1	5	0	2	0	4	4	0	2	2	6	4	5	5	0	1	1	1	0
HPN	0	4	1	6	0	2	0	4	4	0	2	2	6	4	6	6	0	1	1	1	0
FXYD3	1	6	5	6	0	1	0	11	2	0	7	4	8	9	11	9	3	2	2	4	0
LGI4	1	6	6	6	0	1	1	13	1	1	7	4	9	10	13	9	4	5	3	5	0
FXYD1	1	6	6	5	0	1	1	13	1	1	7	4	9	10	12	8	4	5	3	5	0
FXYD7	1	6	6	5	0	1	1	13	0	1	6	4	8	10	12	7	4	4	2	4	0
FXYD5	1	6	6	5	0	1	1	12	0	1	7	4	8	10	11	8	4	4	2	4	0
LSR	2	6	7	4	0	4	1	11	4	0	13	1	8	8	8	7	2	3	6	4	0
USF2	2	6	6	5	0	4	1	12	3	0	13	1	9	8	10	7	2	1	4	3	0
HAMP	1	7	3	7	0	4	1	11	2	0	10	1	8	7	8	6	1	0	4	2	0
MAG	1	7	3	7	0	4	1	11	2	0	10	1	8	7	7	6	1	0	4	2	0
CD22	0	8	4	6	0	4	0	6	0	1	13	0	7	5	5	7	1	1	4	2	0
FFAR2	0	3	2	6	0	0	0	3	0	3	6	0	8	5	6	7	0	2	2	0	0
KRTDAP	0	1	4	2	0	0	0	3	0	1	4	0	5	3	3	4	0	1	1	1	0
DMKN	0	3	5	2	0	0	0	1	0	0	6	1	2	8	2	9	0	0	0	1	0
SBSN	0	4	6	2	0	0	0	1	0	0	5	1	2	6	4	7	0	0	0	1	0
TMEM147	0	4	6	2	0	0	0	1	0	0	5	1	1	7	3	8	0	0	0	1	0
HAUS5	1	3	7	2	0	0	0	3	0	0	3	4	4	10	9	5	0	2	0	0	0
RBM42	2	3	6	3	0	0	1	3	0	1	5	5	5	12	8	5	1	3	1	1	0
ETV2	2	3	6	3	0	0	1	3	0	1	5	5	5	11	8	5	1	3	1	1	0
COX6B1	2	3	6	4	0	0	1	4	1	1	6	6	7	11	8	5	1	3	1	2	0
ZBTB32	1	4	7	6	0	0	1	7	2	1	11	8	6	13	8	4	1	2	3	2	0
KMT2B	1	5	9	6	0	0	1	8	2	1	11	9	7	15	9	4	1	2	3	3	0
IGFLR1	0	5	10	6	0	0	0	8	2	1	9	8	6	13	9	4	0	1	2	2	0
U2AF1L4	0	5	10	5	0	0	0	7	1	1	8	7	4	14	8	3	0	1	2	1	0
PSENEN	0	5	10	5	0	0	0	7	1	1	8	7	4	14	8	3	0	1	2	1	0
LIN37	0	5	10	5	0	0	0	7	1	1	9	7	4	16	8	3	0	1	2	1	0
HSPB6	0	4	10	4	0	0	0	8	2	1	8	7	6	14	9	2	1	2	2	2	0
ARHGAP33	0	4	11	4	0	0	0	6	1	1	6	7	7	9	10	3	1	2	2	2	0
PRODH2	0	2	6	7	0	0	0	4	2	1	5	5	6	9	10	3	1	2	2	2	0
KIRREL2	0	2	9	8	0	0	0	7	1	1	5	10	5	16	11	5	0	1	1	3	0
APLP1	0	2	10	9	0	0	0	9	2	1	5	10	6	17	11	6	0	1	3	3	0
NFKBID	1	3	10	8	0	1	0	9	3	1	5	7	6	18	8	6	0	2	3	3	0
HCST	1	3	10	8	0	1	0	9	3	1	5	7	6	18	8	6	0	2	3	3	0
TYROBP	1	3	10	8	0	1	0	8	2	1	5	7	5	17	7	6	0	1	2	2	0
SDHAF1	2	2	7	3	0	1	0	8	1	0	4	3	3	8	5	7	1	2	2	1	0
SYNE4	1	1	7	3	0	0	0	6	1	0	4	5	3	9	7	7	1	1	2	1	0
ALKBH6	1	1	7	3	0	0	0	6	1	0	4	5	3	9	7	7	1	1	2	2	0
CLIP3	1	1	7	4	0	0	0	7	1	0	4	5	4	7	8	3	1	1	2	3	0
THAP8	1	1	5	4	0	0	0	5	1	0	3	3	5	5	7	3	1	2	3	4	0
WDR62	1	1	5	4	0	0	0	5	1	0	3	3	5	5	7	3	1	2	3	4	0
TBCB	1	1	4	6	0	0	0	7	2	1	5	3	5	5	5	1	0	1	1	4	0
POLR2I	1	1	4	6	0	0	0	7	2	1	5	3	5	5	5	1	0	1	1	4	0
CAPNS1	1	1	4	5	0	0	0	6	2	1	5	3	4	5	4	2	0	1	1	3	0
COX7A1	1	1	4	5	0	0	0	7	2	1	5	3	6	5	4	3	0	1	1	3	0
ZNF146	0	0	2	1	0	3	0	2	2	1	4	2	3	3	3	3	0	1	0	0	0
ZNF565	0	0	2	1	0	3	0	2	2	1	4	2	3	3	3	3	0	1	0	0	0
ZFP14	0	1	1	1	0	0	0	1	0	0	3	0	0	4	3	0	0	0	0	0	0
ZFP82	0	1	1	1	0	0	0	1	0	0	2	0	0	2	2	0	0	0	0	0	0
ZNF566	0	1	3	1	0	2	0	2	0	0	3	2	2	3	3	2	0	1	0	1	0
ZNF260	1	2	5	1	0	3	0	2	0	0	4	3	4	5	4	2	0	1	0	1	0
ZNF529	1	2	2	0	0	1	0	0	0	0	1	1	2	2	1	0	0	0	0	0	0
ZNF382	1	2	2	0	0	1	0	0	0	0	1	1	2	2	1	0	0	0	0	0	0
ZNF461	0	0	1	0	0	0	0	0	0	0	2	0	2	3	0	0	0	0	0	0	0
ZNF567	0	0	1	0	0	0	0	0	0	0	2	0	2	3	0	0	0	0	0	0	0
ZNF850	0	0	1	0	0	0	0	2	0	1	2	1	3	3	2	0	2	1	1	2	0
ZNF345	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0
ZNF790	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0
ZNF829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF420	0	0	2	0	0	2	0	0	0	0	1	1	0	4	0	1	0	0	0	0	0
ZNF585A	0	0	1	1	0	1	0	1	1	2	1	1	2	6	2	2	0	1	1	0	0
ZNF585B	0	0	1	1	0	1	0	1	0	2	1	1	2	6	3	0	0	1	1	0	0
ZNF383	0	0	1	0	0	1	0	0	0	1	0	1	1	4	2	0	0	1	1	0	0
HKR1	0	0	1	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0
ZNF527	0	0	1	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0
ZNF569	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
ZNF570	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
ZNF793	0	0	1	1	0	0	0	0	0	0	2	0	1	2	3	0	0	0	0	0	0
ZNF540	0	3	1	2	0	0	0	1	0	0	4	0	1	2	2	2	0	0	0	0	0
ZNF571	0	3	1	2	0	0	0	1	0	0	5	0	0	2	2	2	0	0	0	0	0
ZFP30	0	0	4	1	0	0	0	1	0	0	3	1	1	3	3	2	0	1	1	1	0
ZNF781	0	0	5	1	0	0	0	1	0	1	3	1	1	4	3	2	0	1	1	1	0
ZNF607	0	0	3	0	0	0	0	0	0	1	2	0	1	3	2	0	0	1	1	1	0
ZNF573	0	0	0	1	0	0	0	0	0	0	1	1	1	5	1	0	0	1	0	0	0
WDR87	2	0	2	2	0	0	0	2	1	0	2	1	1	2	3	1	1	1	1	1	0
SIPA1L3	2	0	2	2	0	0	0	2	1	0	2	1	1	2	3	1	1	1	1	1	0
DPF1	2	1	4	4	0	4	0	9	2	0	7	2	6	9	7	6	2	4	6	3	0
PPP1R14A	2	2	4	5	0	4	0	12	2	0	6	3	4	9	10	6	2	4	7	4	0
SPINT2	2	3	6	5	0	5	0	11	2	0	7	4	5	10	12	6	2	4	7	4	0
C19orf33	2	4	7	10	0	4	0	14	4	1	8	4	6	11	12	3	3	6	8	6	0
YIF1B	2	4	8	10	0	4	0	13	4	1	6	4	6	10	12	2	3	6	9	6	0
KCNK6	2	4	8	10	0	4	0	11	4	1	6	4	6	8	10	2	3	5	8	5	0
CATSPERG	1	3	10	9	0	4	0	15	2	1	4	6	6	10	13	2	5	4	7	4	0
PSMD8	0	3	8	6	0	1	0	18	3	4	5	6	6	14	12	3	5	6	7	5	0
GGN	0	3	7	4	0	0	0	18	2	4	4	4	6	13	11	3	5	5	6	5	0
FAM98C	0	4	8	5	0	1	0	18	2	4	5	4	6	14	11	4	5	4	5	4	0
RASGRP4	0	4	5	4	0	1	0	13	2	4	4	2	3	10	8	4	1	3	2	3	0
RYR1	0	4	5	4	0	1	0	13	2	4	4	2	3	10	8	5	1	3	2	3	0
MAP4K1	2	4	7	2	0	0	0	13	2	0	1	3	3	4	6	4	0	0	2	2	0
